date,open,high,low,close,volume
1998-11-24,3.6262,3.6262,3.5226,3.5620,66800
1998-11-25,3.5164,3.5164,3.4315,3.5030,50800
1998-11-27,3.5030,3.5226,3.4646,3.4967,42400
1998-11-30,3.4449,3.4967,3.3734,3.4708,99600
1998-12-01,3.4449,3.6138,3.4449,3.6066,90000
1998-12-02,3.5807,3.6066,3.4646,3.5226,107600
1998-12-03,3.5102,3.5485,3.3869,3.4066,163600
1998-12-04,3.4833,3.4833,3.4315,3.4646,182800
1998-12-07,3.4584,3.4771,3.3734,3.3797,74400
1998-12-08,3.4066,3.4066,3.3548,3.3797,151600
1998-12-09,3.3672,3.4190,3.3672,3.4066,118400
1998-12-10,3.4190,3.4190,3.3797,3.3797,55600
1998-12-11,3.3548,3.3931,3.3413,3.3869,29200
1998-12-14,3.3279,3.4449,3.3279,3.3610,117600
1998-12-15,3.3903,3.4102,3.3444,3.3444,55600
1998-12-16,3.3705,3.3841,3.2599,3.3580,68000
1998-12-17,3.3382,3.3444,3.3121,3.3257,108000
1998-12-18,3.3778,3.4362,3.3778,3.4362,142400
1998-12-21,3.4164,3.5207,3.4164,3.4425,140000
1998-12-22,3.4550,3.4550,3.3903,3.4102,40000
1998-12-23,3.4300,3.4488,3.3643,3.4425,100400
1998-12-24,3.4550,3.5343,3.4425,3.5009,109600
1998-12-28,3.5145,3.9578,3.5009,3.7033,610000
1998-12-29,3.6386,3.6511,3.5593,3.6115,421600
1998-12-30,3.6251,3.6710,3.5865,3.6115,238800
1998-12-31,3.6115,3.6908,3.5990,3.6772,186800
1999-01-04,3.7680,3.8274,3.7294,3.7617,298000
1999-01-05,3.7753,3.9902,3.7753,3.9578,378400
1999-01-06,4.0684,4.0945,4.0100,4.0100,299200
1999-01-07,3.9839,4.0559,3.9578,3.9766,264400
1999-01-08,4.0621,4.0684,3.9703,4.0100,576400
1999-01-11,4.0361,4.0559,3.9641,4.0225,192400
1999-01-12,4.0162,4.0288,3.9839,3.9964,226000
1999-01-13,3.7554,3.9119,3.7554,3.8660,335600
